searched,title,authors,published,database,source
12/02/2018,Effects of valence and arousal on emotional word processing are modulated by concreteness: Behavioral and ERP evidence from a lexical decision task,"Wang,Zhenhong, Guo,Jingjing, Zhu,Xiangru, Wang,Lili, Yu,Deshui, Yao,Zhao, ",2016,ScienceDirect,https://api.elsevier.com/content/article/pii/S0167876016306328
12/02/2018,Effect of sleep deprivation and low arousal on eye movements and spatial attention,"Blankenheim,Andrea, Fimm,Bruno, ",2016,ScienceDirect,https://api.elsevier.com/content/article/pii/S0028393216300926
12/02/2018,"It’s all in the delivery: Effects of context valence, arousal, and concreteness on visual word processing","Kuperman,Victor, Snefjella,Bryor, ",2016,ScienceDirect,https://api.elsevier.com/content/article/pii/S0010027716301792
12/02/2018,Combining machine learning models for the automatic detection of EEG arousals,"Moret-Bonillo,Vicente, Álvarez-Estévez,Diego, Hernández-Pereira,Elena, Fernández-Varela,Isaac, ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S0925231217307506
12/02/2018,Dissociation of immediate and delayed effects of emotional arousal on episodic memory,"Sommer,Tobias, Talmi,Deborah, Bayer,Janine, Schümann,Dirk, ",2018,ScienceDirect,https://api.elsevier.com/content/article/pii/S1074742717302150
12/02/2018,"Dual-transmitter systems regulating arousal, attention, learning and memory","Gundlach,Andrew L., Wisden,William, Leonard,Christopher S., Hangya,Balázs, Ma,Sherie, ",2018,ScienceDirect,https://api.elsevier.com/content/article/pii/S0149763417300660
12/02/2018,Efficacy and Safety of On-Demand Use of 2 Treatments Designed for Different Etiologies of Female Sexual Interest/Arousal Disorder: 3 Randomized Clinical Trials,"Pfaus,James G., Böcker,Koen B.E., de Lange,Robert P.J., Höhle,Daniël, Frijlink,Henderik W., Everaerd,Walter, Olivier,Berend, Koppeschaar,Hans P.F., Gerritsen,Jeroen, de Leede,Leo, Derogatis,Leonard R., Kingsberg,Sheryl, Kessels,Rob, van Honk,Jack, Eisenegger,Christoph, Bloemers,Jos, van Rooij,Kim, Tuiten,Adriaan, ",2018,ScienceDirect,https://api.elsevier.com/content/article/pii/S1743609517318519
12/02/2018,High arousal words influence subsequent processing of neutral information: Evidence from event-related potentials,"Pozo,Miguel A., Méndez-Bértolo,Constantino, Hinojosa,José A., ",2012,ScienceDirect,https://api.elsevier.com/content/article/pii/S0167876012001663
12/02/2018,Temperament and arousal systems: A new synthesis of differential psychology and functional neurochemistry,"Robbins,Trevor W., Trofimova,Irina, ",2016,ScienceDirect,https://api.elsevier.com/content/article/pii/S0149763416301324
12/02/2018,"Understanding Women's Subjective Sexual Arousal Within the Laboratory: Definition, Measurement, and Manipulation","Meston,Cindy M., Stanton,Amelia M., Handy,Ariel B., ",2018,ScienceDirect,https://api.elsevier.com/content/article/pii/S2050052117301403
12/02/2018,Low physiological arousal and high impulsivity as predictors of self-injurious thoughts and behaviors among adolescents,"Mezulis,Amy H., Wielgus,Madeline D., Aldrich,Jaclyn T., ",2018,ScienceDirect,https://api.elsevier.com/content/article/pii/S0140197117301811
12/02/2018,Chapter 12 Arousal Regulation in Affective Disorders,"Hensch,Tilman, Sander,Christian, Hegerl,Ulrich, ",2016,ScienceDirect,https://api.elsevier.com/content/article/pii/B9780128024560000121
12/02/2018,Autonomic nervous system reactivity within the valence–arousal affective space: Modulation by sex and age,"Danuser,Brigitta, von Gunten,Armin, Gomez,Patrick, ",2016,ScienceDirect,https://api.elsevier.com/content/article/pii/S0167876016307176
12/02/2018,The Effect of an Impaired Arousal on Short- and Long-Term Mortality of Elderly Patients Admitted to an Acute Geriatric Unit,"Annoni,Giorgio, Mazzola,Paolo, Zazzetta,Sara, Perego,Sabrina, Latronico,Nicola, Morandi,Alessandro, Mazzone,Andrea, Bellelli,Giuseppe, ",2016,ScienceDirect,https://api.elsevier.com/content/article/pii/S1525861015006179
12/02/2018,The influence of action-outcome delay and arousal on sense of agency and the intentional binding effect,"Asama,Hajime, Yamashita,Atsushi, Wen,Wen, ",2015,ScienceDirect,https://api.elsevier.com/content/article/pii/S1053810015001415
12/02/2018,The neurologic control of arousal and orgasm with specific attention to spinal cord lesions: Integrating preclinical and clinical sciences,"Marson,Lesley, Alexander,Marcalee Sipski, ",2018,ScienceDirect,https://api.elsevier.com/content/article/pii/S1566070217300115
12/02/2018,A Relationship Between Operator Performance and Arousal in Assembly,"Thorvald,Peter, Fast-Berglund,Åsa, Mattsson,Sandra, ",2016,ScienceDirect,https://api.elsevier.com/content/article/pii/S221282711600442X
12/02/2018,Brain volume loss contributes to arousal and empathy dysregulation following severe traumatic brain injury,"Piguet,Olivier, Parks,Nicklas, De Blasio,Frances M., Kornfeld,Emma J., Fisher,Alana C., McDonald,Skye, Rushby,Jacqueline A., ",2016,ScienceDirect,https://api.elsevier.com/content/article/pii/S2213158216301759
12/02/2018,Neuronal Activity in Primate Dorsal Anterior Cingulate Cortex Signals Task Conflict and Predicts Adjustments in Pupil-Linked Arousal,"Platt,Michael L., Ebitz,R. Becket, ",2015,ScienceDirect,https://api.elsevier.com/content/article/pii/S0896627314011623
12/02/2018,Physiophenomenology in retrospect: Memory reliably reflects physiological arousal during a prior threatening experience,"Singer,Tania, Bornemann,Boris, Hildebrandt,Lea K., McCall,Cade, ",2015,ScienceDirect,https://api.elsevier.com/content/article/pii/S1053810015300386
12/02/2018,Sexual arousal in men: A review and conceptual analysis,"Janssen,Erick, ",2011,ScienceDirect,https://api.elsevier.com/content/article/pii/S0018506X11000638
12/02/2018,A Genetically Defined Circuit for Arousal from Sleep during Hypercapnia,"Saper,Clifford B., Fuller,Patrick M., Arrigoni,Elda, Wellman,Andrew, Lazarus,Michael, Venner,Anne, Kroeger,Daniel, Thankachan,Stephen, Ferrari,Loris, Wang,Joshua L., Kaur,Satvinder, ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S0896627317309777
12/02/2018,Post-learning arousal enhances veridical memory and reduces false memory in the Deese-Roediger-McDermott paradigm,"Correro,Anthony N., Nielson,Kristy A., ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S1074742716302660
12/02/2018,Distractibility as a precursor to anxiety: Preexisting attentional control deficits predict subsequent autonomic arousal during anxiety,"Urry,Heather L., Opitz,Philipp C., Birk,Jeffrey L., ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S0301051115300946
12/02/2018,"Excitatory orexinergic innervation of rat nucleus incertus – Implications for ascending arousal, motivation and feeding control","Gundlach,Andrew L., Lewandowski,Marian H., Rajfur,Zenon, Kania,Alan, Blasiak,Ewa, Czerw,Anna, Blasiak,Tomasz, Grabowiecka,Agnieszka, Siwiec,Marcin, Blasiak,Anna, ",2015,ScienceDirect,https://api.elsevier.com/content/article/pii/S0028390815300605
12/02/2018,Disruption of the ascending arousal system and cortical attention networks in post-stroke delirium and spatial neglect,"Barrett,A.M., Boukrina,Olga, ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S0149763417300556
12/02/2018,"Yawning, acute stressors, and arousal reduction in Nazca booby adults and nestlings","Anderson,David J., Tompkins,Emily M., Grace,Jacquelyn K., Liang,Amy C., ",2015,ScienceDirect,https://api.elsevier.com/content/article/pii/S0031938414005460
12/02/2018,Perceiving emotions in robot body language: Acute stress heightens sensitivity to negativity while attenuating sensitivity to arousal,"Koutstaal,Wilma, Harder,Kathleen A., Thimmesch-Gill,Zane, ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S0747563217304065
12/02/2018,Patterns of Anxious Arousal During a Speech Task Between Nonanxious Controls and Individuals With Social Anxiety Disorder Pre- and Posttreatment,"Hayes-Skelton,Sarah A., Wadsworth,Lauren P., Lee,Carol S., ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S0005789417300825
12/02/2018,"Distinct cerebellar lobules process arousal, valence and their interaction in parallel following a temporal hierarchy","Papadelis,Christos, Bamidis,Panagiotis D., Ioannides,Andreas A., Styliadis,Charis, ",2015,ScienceDirect,https://api.elsevier.com/content/article/pii/S1053811915000981
12/02/2018,Oxidative stress parameters in two Pelophylax esculentus complex frogs during pre- and post-hibernation: Arousal vs heavy metals,"Saičić,Zorica S., Pavlović,Slađan Z., Radovanović,Tijana B., Gavrilović,Branka R., Despotović,Svetlana G., Gavrić,Jelena P., Mutić,Jelena J., Krizmanić,Imre I., Borković-Mitić,Slavica S., Prokić,Marko D., ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S1532045617301370
12/02/2018,Sexual arousal: The correspondence of eyes and genitals,"Savin-Williams,Ritch C., Dharmavaram,Sanjay Muralidharan, Jones-Rounds,James, Merrill,Sarah M., Cash,Brian M., Rieger,Gerulf, ",2015,ScienceDirect,https://api.elsevier.com/content/article/pii/S0301051114002506
12/02/2018,The relation between young children's physiological arousal and their motivation to help others,"Tomasello,Michael, Müller,Katharina, Vaish,Amrisha, Hepach,Robert, ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S0028393217303792
12/02/2018,Do drives drive the train of thought?—Effects of hunger and sexual arousal on mind-wandering behavior,"Nied,Laura, Rummel,Jan, ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S1053810017302210
12/02/2018,The effect of user experience in online games on word of mouth: A pleasure-arousal-dominance (PAD) model perspective,"Liao,Junyun, Ali,Rizwan, Huang,Minxue, ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S0747563217303278
12/02/2018,Emotional arousal and recognition memory are differentially reflected in pupil diameter responses during emotional memory for negative events in younger and older adults,"Düzel,Emrah, Dolan,Ray J., Maaß,Anne, Betts,Matthew J., Hopkins,Alexandra, Hämmerer,Dorothea, ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S0197458017302178
12/02/2018,Congruent bodily arousal promotes the constructive recognition of emotional words,"Vermeulen,Nicolas, Grynberg,Delphine, Kever,Anne, ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S1053810017301551
12/02/2018,Emotional arousal and entrepreneurial outcomes: Combining qualitative methods to elaborate theory,"Delbridge,Rick, Devereaux Jennings,P., Edwards,Tim, Jennings,Jennifer E., ",2015,ScienceDirect,https://api.elsevier.com/content/article/pii/S0883902614000603
12/02/2018,CNS- and ANS-arousal predict response to antidepressant medication: Findings from the randomized iSPOT-D study,"Arns,Martijn, Hegerl,Ulrich, Gordon,Evian, Gevirtz,Richard, Surova,Galina, Tränkner,Anja, Olbrich,Sebastian, ",2016,ScienceDirect,https://api.elsevier.com/content/article/pii/S0022395615300169
12/02/2018,Positive effect of acute mild exercise on executive function via arousal-related prefrontal activations: An fNIRS study,"Soya,Hideaki, Dan,Ippeita, Kato,Morimasa, Sakairi,Yosuke, Ochi,Genta, Suwabe,Kazuya, Hyodo,Kazuki, Byun,Kyeongho, ",2014,ScienceDirect,https://api.elsevier.com/content/article/pii/S1053811914003474
12/02/2018,Amygdala responses to valence and its interaction by arousal revealed by MEG,"Papadelis,Christos, Bamidis,Panagiotis D., Ioannides,Andreas A., Styliadis,Charalampos, ",2014,ScienceDirect,https://api.elsevier.com/content/article/pii/S0167876013001293
12/02/2018,Capability for suicide interacts with states of heightened arousal to predict death by suicide beyond the effects of depression and hopelessness,"Siegler,Ilene C., Joiner,Thomas, Yen,Shirley, Ribeiro,Jessica D., ",2015,ScienceDirect,https://api.elsevier.com/content/article/pii/S0165032715303633
12/02/2018,How Hot Is He? A Psychophysiological and Psychosocial Examination of the Arousal Patterns of Sexually Functional and Dysfunctional Men,"Binik,Yitzchak M., Amsel,Rhonda, Sarin,Sabina, ",2014,ScienceDirect,https://api.elsevier.com/content/article/pii/S1743609515308274
12/02/2018,The effect of arousal on regulation of negative emotions using cognitive reappraisal: An ERP study,"Surti,Kruti, Langeslag,Sandra J.E., ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S0167876017303276
12/02/2018,Relationship between the changes in M1 excitability after motor learning and arousal state as assessed by short-latency afferent inhibition,"Funase,Kozo, Tanaka,Shinya, Kubota,Shinji, Hirano,Masato, Koizume,Yoshiki, ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S0166432817305168
12/02/2018,"The role of insomnia, pre-sleep arousal and psychopathology symptoms in daytime impairment in adolescents with high-functioning autism spectrum disorder","Gradisar,Michael, Short,Michelle, Baker,Emma, Richdale,Amanda L., ",2014,ScienceDirect,https://api.elsevier.com/content/article/pii/S1389945714002020
12/02/2018,Debating the Role of Arousal in Delirium Diagnosis: Should Delirium Diagnosis Be Inclusive or Restrictive?,"Rudolph,James L., Flaherty,Joseph H., Oldham,Mark A., ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S1525861017301755
12/02/2018,Dorsal Raphe Dopamine Neurons Modulate Arousal and Promote Wakefulness by Salient Stimuli,"Gradinaru,Viviana, Greenbaum,Alon, Bremner,Lindsay R., Xiao,Cheng, Robinson,J. Elliott, Treweek,Jennifer B., Cho,Jounhong Ryan, ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S0896627317304580
12/02/2018,Emotion and memory: A recognition advantage for positive and negative words independent of arousal,"Estes,Zachary, Adelman,James S., ",2013,ScienceDirect,https://api.elsevier.com/content/article/pii/S0010027713001716
12/02/2018,Physiological arousal accompanying postural responses to external perturbations after stroke,"Garland,S.J., Ivanova,T.D., Vieira,T.M., Gallina,A., Hunt,M.A., Carpenter,M.G., Pollock,C.L., ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S1388245717300962
12/02/2018,Laser Doppler Imaging of Genital Blood Flow: A Direct Measure of Female Sexual Arousal,"Pukall,Caroline F., Waxman,Samantha E., ",2009,ScienceDirect,https://api.elsevier.com/content/article/pii/S174360951532631X
12/02/2018,Abnormal Level of Arousal as a Predictor of Delirium and Inattention: An Exploratory Study,"MacLullich,Alasdair M.J., Hall,Roanna J., McGrath,Aisling, Tieges,Zoë, ",2013,ScienceDirect,https://api.elsevier.com/content/article/pii/S106474811300242X
12/02/2018,Locally weighted linear regression for cross-lingual valence-arousal prediction of affective words,"Zhang,Xuejie, Lai,K. Robert, Yu,Liang-Chih, Wang,Jin, ",2016,ScienceDirect,https://api.elsevier.com/content/article/pii/S0925231216003040
12/02/2018,An examination of the association between chronic sleep restriction and electrocortical arousal in college students,"Schnyer,David M., Matthews,Michael D., Carter,Patricia, Sherman,Stephanie M., Trujillo,Logan T., Witkowski,Sarah, ",2015,ScienceDirect,https://api.elsevier.com/content/article/pii/S1388245714003381
12/02/2018,What are the influences of orthogonally-manipulated valence and arousal on performance monitoring processes? The effects of affective state,"Kirwan,C. Brock, Jones,Rochelle, Clayson,Peter E., Gray,Alexander C., Larson,Michael J., ",2013,ScienceDirect,https://api.elsevier.com/content/article/pii/S0167876013000202
12/02/2018,Exploring Delirium's Heterogeneity: Association Between Arousal Subtypes at Initial Presentation and 6-Month Mortality in Older Emergency Department Patients,"Ely,E. Wesley, Schnelle,John F., Dittus,Robert S., Carlo,Maria E., Girard,Timothy D., Vasilevskis,Eduard E., Liu,Xulei, Wilson,Jo Ellen, Chandrasekhar,Rameela, Brummel,Nathan E., Han,Jin H., ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S1064748116301385
12/02/2018,Quantifying mental arousal levels in daily living using additional heart rate,"Sun,Mingui, Liu,Guangyuan, Jia,Wenyan, Yang,Zhaofang, ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S1746809416301811
12/02/2018,Arousals,"Berry,R.B., ",2013,ScienceDirect,https://api.elsevier.com/content/article/pii/B9780123786104003053
12/02/2018,"Reactions to bullying and peer victimization: Narratives, physiological arousal, and personality","Milich,Richard, Harris,Monica J., Bollmer,Julie M., ",2006,ScienceDirect,https://api.elsevier.com/content/article/pii/S0092656605000619
12/02/2018,Effects of noise on arousal in a speech communication setting,"Kohlrausch,Armin, Janse,Kees, Kechichian,Patrick, Cvijanović,Nemanja, ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S0167639316301789
12/02/2018,Modeling valuation and core affect in a cognitive architecture: The impact of valence and arousal on memory and decision-making,"Hough,Alexander, Larue,Othalia, Juvina,Ion, ",2018,ScienceDirect,https://api.elsevier.com/content/article/pii/S1389041716302170
12/02/2018,Automatic artifacts and arousals detection in whole-night sleep EEG recordings,"Phillips,Christophe, Maquet,Pierre, Vandewalle,Gilles, Meyer,Christelle, Chellappa,Sarah L., Jaspar,Mathieu, Gaggioni,Giulia, Muto,Vincenzo, ’t Wallant,Dorothée Coppieters, ",2016,ScienceDirect,https://api.elsevier.com/content/article/pii/S0165027015003994
12/02/2018,Sliding-window analysis tracks fluctuations in amygdala functional connectivity associated with physiological arousal and vigilance during fear conditioning,"Veer,Ilya M., Erk,Susanne, Walter,Henrik, Johnstone,Tom, Baczkowski,Blazej M., ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S1053811917302306
12/02/2018,Phasic valence and arousal do not influence post-conflict adjustments in the Simon task,"Eder,Andreas B., Janczyk,Markus, Dignath,David, ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S0001691816302499
12/02/2018,"Affiliative interpersonal behaviors during stress are associated with sleep quality and presleep arousal in young, healthy adults","Williams,Paula G., Troxel,Wendy M., Cribbet,Matthew R., Rau,Holly K., Mackaronis,Julia E., Critchfield,Kenneth L., Gunn,Heather E., ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S2352721816301395
12/02/2018,"Sleep-related cognitive processes, arousal, and emotion dysregulation in insomnia disorder: the role of insomnia-specific rumination","Carney,Colleen, Dell'Osso,Liliana, Moretto,Umberto, Palagini,Laura, ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S1389945716302738
12/02/2018,Psychophysiological Assessment in Premenopausal Sexual Arousal Disorder,"Gorzalka,Boris B., Basson,Rosemary, Brotto,Lori A., ",2004,ScienceDirect,https://api.elsevier.com/content/article/pii/S1743609515310717
12/02/2018,Valence and arousal of emotional stimuli impact cognitive-motor performance in an oddball task,"Li,Hong, Zhou,Chenglin, Hatfield,Bradley D., Jaquess,Kyle J., Lu,Yingzhi, ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S0301051117300467
12/02/2018,Noradrenergic mechanisms of arousal’s bidirectional effects on episodic memory,"Mather,Mara, Petzinger,Giselle, Nielsen,Shawn, Sakaki,Michiko, Clewett,David, ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S1074742716302933
12/02/2018,Emotional arousal state influences the ability of amygdalar endocannabinoid signaling to modulate anxiety,"Hill,Matthew N., Campolongo,Patrizia, Gray,J. Megan, Vecchiarelli,Haley A., Leitl,Kira D., Morena,Maria, ",2016,ScienceDirect,https://api.elsevier.com/content/article/pii/S0028390816303550
12/02/2018,How fleeting emotions affect hazard perception and steering while driving: The impact of image arousal and valence,"Enns,James T., Brandigampola,Seneca, Trick,Lana M., ",2012,ScienceDirect,https://api.elsevier.com/content/article/pii/S0001457511001916
12/02/2018,Modifiable Arousal in Attention-Deficit/Hyperactivity Disorder and Its Etiological Association With Fluctuating Reaction Times,"Kuntsi,Jonna, Asherson,Philip, Rijsdijk,Fruhling, Cheung,Celeste H.M., James,Sarah-Naomi, ",2016,ScienceDirect,https://api.elsevier.com/content/article/pii/S2451902216300684
12/02/2018,Neural modulation of directed forgetting by valence and arousal: An event-related potential study,"Dyson,Benjamin J., Gallant,Sara N., ",2016,ScienceDirect,https://api.elsevier.com/content/article/pii/S0006899316305443
12/02/2018,All alone with sweaty palms — Physiological arousal and ostracism,"Rushby,Jacqueline, McDonald,Skye, Kelly,Michelle, ",2012,ScienceDirect,https://api.elsevier.com/content/article/pii/S0167876011003552
12/02/2018,Predator stress-induced persistent emotional arousal is associated with alterations of plasma corticosterone and hippocampal steroid receptors in rat,"Wang,Weiwen, Wu,Yuxian, Lin,Hang, Wang,Jun, Yu,Ke, Wang,Qingsong, ",2012,ScienceDirect,https://api.elsevier.com/content/article/pii/S0166432812000885
12/02/2018,Affect intensity and softness tactile preferences: An experimental approach to arousal regulation,"Meyer,T., Beetschen,M.A., Diaz,E., Faye,P., Nicod,H., Giboreau,A., Kergoat,M., ",2016,ScienceDirect,https://api.elsevier.com/content/article/pii/S0950329316300775
12/02/2018,Executive functioning and diabetes: The role of anxious arousal and inflammation,"Fagundes,Christopher P., Heijnen,Cobi J., Duke,Danny C., Lacourt,Tamara E., LeRoy,Angie S., Murdock,Kyle W., ",2016,ScienceDirect,https://api.elsevier.com/content/article/pii/S0306453016301342
12/02/2018,"Persistent Genital Arousal Disorder: A Review of Its Conceptualizations, Potential Origins, Impact, and Treatment","Pukall,Caroline F., Gordon,Allan, Pink,Leah, Jackowich,Robyn A., ",2016,ScienceDirect,https://api.elsevier.com/content/article/pii/S2050052116300245
12/02/2018,Trait- and pre-sleep-state-dependent arousal in insomnia disorders: what role may sleep reactivity and sleep-related metacognitions play? A pilot study,"Drake,Christopher L., Riemann,Dieter, Dell'Osso,Liliana, Mauri,Mauro, Palagini,Laura, ",2016,ScienceDirect,https://api.elsevier.com/content/article/pii/S138994571630137X
12/02/2018,Autonomic arousal in adults who stutter prior to various reading tasks intended to elicit changes in stuttering frequency,"Kalinowski,Joseph, Saltuklaroglu,Tim, Bowers,Andrew, ",2012,ScienceDirect,https://api.elsevier.com/content/article/pii/S0167876011002960
12/02/2018,Generalized CNS arousal: An elementary force within the vertebrate nervous system,"Pfaff,D., Banavar,J.R., Maritan,A., Kilinc,M., Calderon,D.P., ",2016,ScienceDirect,https://api.elsevier.com/content/article/pii/S0149763415303560
12/02/2018,The impact of stimulus arousal level on emotion regulation effectiveness in borderline personality disorder,"Kuo,Janice R., Fitzpatrick,Skye, ",2016,ScienceDirect,https://api.elsevier.com/content/article/pii/S0165178115302249
12/02/2018,Progressive changes in cortical state before and after spontaneous arousals from sleep in elderly and middle-aged women,"Hayes,D., Ramanand,P., Bruce,M.C., Bruce,E.N., ",2011,ScienceDirect,https://api.elsevier.com/content/article/pii/S0306452210015277
12/02/2018,Event-related brain potential correlates of words’ emotional valence irrespective of arousal and type of task,"Martín-Loeches,Manuel, Hernández-Gutiérrez,David, Muñoz,Francisco, Fondevila,Sabela, Casado,Pilar, Jiménez-Ortega,Laura, Espuny,Javier, ",2018,ScienceDirect,https://api.elsevier.com/content/article/pii/S0304394018300624
12/02/2018,ORIGINAL RESEARCH—PHYSIOLOGY: Thermography as a Physiological Measure of Sexual Arousal in Both Men and Women,"Carrier,Serge, Amsel,Rhonda, Binik,Yitzchak M., Kukkonen,Tuuli M., ",2007,ScienceDirect,https://api.elsevier.com/content/article/pii/S1743609515314995
12/02/2018,Peripheral Female Genital Arousal as Assessed by Thermography Following Topical Genital Application of Alprostadil vs Placebo Arousal Gel: A Proof-of-Principle Study Without Visual Sexual Stimulation,"Goldstein,Irwin, Gagnon,Catherine, Gonzalez,Joshua R., Goldstein,Sue W., ",2016,ScienceDirect,https://api.elsevier.com/content/article/pii/S2050116116000581
