Searched,Title,Authors,Published,Type,Include?,Exclusion code,Database,Source
10/02/2018,The Behavioral Profiling Based on Times Series Forecasting for Smart Homes Assistance,Tarik Moutacalli,Apr 2015,Article,,,ResearchGate,https://www.researchgate.net/publication/274635285_The_Behavioral_Profiling_Based_on_Times_Series_Forecasting_for_Smart_Homes_Assistance?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition11%5D=1&_iepl%5Bdata%5D%5BwithEnrichment%5D=1&_iepl%5Bposition%5D=11&_iepl%5BrgKey%5D=PB%3A274635285&_iepl%5BtargetEntityId%5D=PB%3A274635285&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,Mining Human Activity Patterns from Smart Home Big Data for Healthcare Applications,Abdulsalam Yassine,Jun 2017,Article,,,ResearchGate,https://www.researchgate.net/publication/318331805_Mining_Human_Activity_Patterns_from_Smart_Home_Big_Data_for_Healthcare_Applications?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition12%5D=1&_iepl%5Bdata%5D%5BwithEnrichment%5D=1&_iepl%5Bposition%5D=12&_iepl%5BrgKey%5D=PB%3A318331805&_iepl%5BtargetEntityId%5D=PB%3A318331805&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,Deducing Behavioural Patterns of Elderly People to Improve Smart Home Services,Hyunsoo Lee,Feb 2012,Conference Paper,,,ResearchGate,https://www.researchgate.net/publication/267556509_Deducing_Behavioural_Patterns_of_Elderly_People_to_Improve_Smart_Home_Services?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition13%5D=1&_iepl%5Bdata%5D%5BwithoutEnrichment%5D=1&_iepl%5Bposition%5D=13&_iepl%5BrgKey%5D=PB%3A267556509&_iepl%5BtargetEntityId%5D=PB%3A267556509&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,Learning movement patterns of the occupant in smart home environments: an unsupervised learning approach,Tongda Zhang,Mar 2016,Article,,,ResearchGate,https://www.researchgate.net/publication/298910050_Learning_movement_patterns_of_the_occupant_in_smart_home_environments_an_unsupervised_learning_approach?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition14%5D=1&_iepl%5Bdata%5D%5BwithoutEnrichment%5D=1&_iepl%5Bposition%5D=14&_iepl%5BrgKey%5D=PB%3A298910050&_iepl%5BtargetEntityId%5D=PB%3A298910050&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,Gesture Recognition in Smart Home Using Passive RFID Technology,Kévin Bouchard,May 2014,Conference Paper,,,ResearchGate,https://www.researchgate.net/publication/261056902_Gesture_Recognition_in_Smart_Home_Using_Passive_RFID_Technology?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition15%5D=1&_iepl%5Bdata%5D%5BwithoutEnrichment%5D=1&_iepl%5Bposition%5D=15&_iepl%5BrgKey%5D=PB%3A261056902&_iepl%5BtargetEntityId%5D=PB%3A261056902&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,A genetic algorithm-based classifier ensemble optimization for activity recognition in smart homes,I. Fatima,Nov 2013,Article,,,ResearchGate,https://www.researchgate.net/publication/289634679_A_genetic_algorithm-based_classifier_ensemble_optimization_for_activity_recognition_in_smart_homes?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition16%5D=1&_iepl%5Bdata%5D%5BwithoutEnrichment%5D=1&_iepl%5Bposition%5D=16&_iepl%5BrgKey%5D=PB%3A289634679&_iepl%5BtargetEntityId%5D=PB%3A289634679&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,Using duration to learn activities of daily living in a smart home environment,Shuai Zhang,Apr 2010,Conference Paper,,,ResearchGate,https://www.researchgate.net/publication/224144504_Using_duration_to_learn_activities_of_daily_living_in_a_smart_home_environment?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition17%5D=1&_iepl%5Bdata%5D%5BwithEnrichment%5D=1&_iepl%5Bposition%5D=17&_iepl%5BrgKey%5D=PB%3A224144504&_iepl%5BtargetEntityId%5D=PB%3A224144504&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,A Time Series Based Sequence Prediction Algorithm to Detect Activities of Daily Living in Smart Home,Mohammad Marufuzzaman,Jan 2015,Article,,,ResearchGate,https://www.researchgate.net/publication/271333299_A_Time_Series_Based_Sequence_Prediction_Algorithm_to_Detect_Activities_of_Daily_Living_in_Smart_Home?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition18%5D=1&_iepl%5Bdata%5D%5BwithoutEnrichment%5D=1&_iepl%5Bposition%5D=18&_iepl%5BrgKey%5D=PB%3A271333299&_iepl%5BtargetEntityId%5D=PB%3A271333299&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,Unobtrusive anomaly detection in presence of elderly in a smart-home environment,Marek Novak,May 2012,Conference Paper,,,ResearchGate,https://www.researchgate.net/publication/261274001_Unobtrusive_anomaly_detection_in_presence_of_elderly_in_a_smart-home_environment?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition19%5D=1&_iepl%5Bdata%5D%5BwithoutEnrichment%5D=1&_iepl%5Bposition%5D=19&_iepl%5BrgKey%5D=PB%3A261274001&_iepl%5BtargetEntityId%5D=PB%3A261274001&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,Classifier ensemble optimization for human activity recognition in smart homes,Iram Fatima,Jan 2013,Conference Paper,,,ResearchGate,https://www.researchgate.net/publication/262403547_Classifier_ensemble_optimization_for_human_activity_recognition_in_smart_homes?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition20%5D=1&_iepl%5Bdata%5D%5BwithoutEnrichment%5D=1&_iepl%5Bposition%5D=20&_iepl%5BrgKey%5D=PB%3A262403547&_iepl%5BtargetEntityId%5D=PB%3A262403547&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,Elderly Living Independently with Ambient Intelligence. The elderly lifestyle prediction solution for future smart homes,Victor Fernandez Pallares,Oct 2013,Conference Paper,,,ResearchGate,https://www.researchgate.net/publication/258107324_Elderly_Living_Independently_with_Ambient_Intelligence_The_elderly_lifestyle_prediction_solution_for_future_smart_homes?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition20plus%5D=1&_iepl%5Bdata%5D%5BwithoutEnrichment%5D=1&_iepl%5Bposition%5D=22&_iepl%5BrgKey%5D=PB%3A258107324&_iepl%5BtargetEntityId%5D=PB%3A258107324&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,Comparison and Performance Analysis of Machine Learning Algorithms for the Prediction of Human Actions in a Smart Home Environment,Basman M. Hasan Alhafidh,May 2017,Conference Paper,,,ResearchGate,https://www.researchgate.net/publication/319438442_Comparison_and_Performance_Analysis_of_Machine_Learning_Algorithms_for_the_Prediction_of_Human_Actions_in_a_Smart_Home_Environment?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition20plus%5D=1&_iepl%5Bdata%5D%5BwithEnrichment%5D=1&_iepl%5Bposition%5D=23&_iepl%5BrgKey%5D=PB%3A319438442&_iepl%5BtargetEntityId%5D=PB%3A319438442&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,A Cooperative Learning Framework for Mobility-Aware Resource Management in Multi-Inhabitant Smart Homes.,Nirmalya Roy,Jan 2005,Conference Paper,,,ResearchGate,https://www.researchgate.net/publication/220788629_A_Cooperative_Learning_Framework_for_Mobility-Aware_Resource_Management_in_Multi-Inhabitant_Smart_Homes?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition20plus%5D=1&_iepl%5Bdata%5D%5BwithoutEnrichment%5D=1&_iepl%5Bposition%5D=24&_iepl%5BrgKey%5D=PB%3A220788629&_iepl%5BtargetEntityId%5D=PB%3A220788629&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,Activity Recognition In Smart Home Using Weighted Dempster-Shafer Theory,Elham Javadi,Nov 2013,Article,,,ResearchGate,https://www.researchgate.net/publication/281688520_Activity_Recognition_In_Smart_Home_Using_Weighted_Dempster-Shafer_Theory?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition20plus%5D=1&_iepl%5Bdata%5D%5BwithoutEnrichment%5D=1&_iepl%5Bposition%5D=25&_iepl%5BrgKey%5D=PB%3A281688520&_iepl%5BtargetEntityId%5D=PB%3A281688520&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,Context-aware activity prediction using human behavior pattern in real smart home environments,Ming-Je Tsai,Aug 2016,Conference Paper,,,ResearchGate,https://www.researchgate.net/publication/310499198_Context-aware_activity_prediction_using_human_behavior_pattern_in_real_smart_home_environments?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition20plus%5D=1&_iepl%5Bdata%5D%5BwithEnrichment%5D=1&_iepl%5Bposition%5D=26&_iepl%5BrgKey%5D=PB%3A310499198&_iepl%5BtargetEntityId%5D=PB%3A310499198&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,Reliable measurement of Wireless Sensor Network data for forecasting wellness of elderly at smart home,Nagender Suryadevara,May 2013,Conference Paper,,,ResearchGate,https://www.researchgate.net/publication/261491269_Reliable_measurement_of_Wireless_Sensor_Network_data_for_forecasting_wellness_of_elderly_at_smart_home?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition20plus%5D=1&_iepl%5Bdata%5D%5BwithoutEnrichment%5D=1&_iepl%5Bposition%5D=27&_iepl%5BrgKey%5D=PB%3A261491269&_iepl%5BtargetEntityId%5D=PB%3A261491269&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,Improving prediction accuracy in context aware smart homes using K-Markov model,A.S. Meenakshi Sundaram,Jan 2007,Article,,,ResearchGate,https://www.researchgate.net/publication/291320201_Improving_prediction_accuracy_in_context_aware_smart_homes_using_K-Markov_model?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition20plus%5D=1&_iepl%5Bdata%5D%5BwithoutEnrichment%5D=1&_iepl%5Bposition%5D=28&_iepl%5BrgKey%5D=PB%3A291320201&_iepl%5BtargetEntityId%5D=PB%3A291320201&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,A Data Mining Framework for Activity Recognition in Smart Environments,Chao Hsiang Chen,Aug 2010,Conference Paper,,,ResearchGate,https://www.researchgate.net/publication/224207426_A_Data_Mining_Framework_for_Activity_Recognition_in_Smart_Environments?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition20plus%5D=1&_iepl%5Bdata%5D%5BwithoutEnrichment%5D=1&_iepl%5Bposition%5D=29&_iepl%5BrgKey%5D=PB%3A224207426&_iepl%5BtargetEntityId%5D=PB%3A224207426&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,DPHK: real-time distributed predicted data collecting based on activity pattern knowledge mined from trajectories in smart environments,Chengliang Wang,Dec 2015,Article,,,ResearchGate,https://www.researchgate.net/publication/287419652_DPHK_real-time_distributed_predicted_data_collecting_based_on_activity_pattern_knowledge_mined_from_trajectories_in_smart_environments?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition20plus%5D=1&_iepl%5Bdata%5D%5BwithEnrichment%5D=1&_iepl%5Bposition%5D=31&_iepl%5BrgKey%5D=PB%3A287419652&_iepl%5BtargetEntityId%5D=PB%3A287419652&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,"Learning, Prediction and Mediation of Context Uncertainty in Smart Pervasive Environments",Sajal K. Das,Nov 2008,Conference Paper,,,ResearchGate,https://www.researchgate.net/publication/220830474_Learning_Prediction_and_Mediation_of_Context_Uncertainty_in_Smart_Pervasive_Environments?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition20plus%5D=1&_iepl%5Bdata%5D%5BwithoutEnrichment%5D=1&_iepl%5Bposition%5D=32&_iepl%5BrgKey%5D=PB%3A220830474&_iepl%5BtargetEntityId%5D=PB%3A220830474&_iepl%5BinteractionType%5D=publicationCTA
